installed_capacity,eic_count,prediction_unit_id,county,datetime,is_consumption,dayofyear,hour,surface_solar_radiation_downwards_fcast_mean_by_county,dayofweek,product_type,surface_solar_radiation_downwards_fcast_mean,is_business,lowest_price_per_mwh,highest_price_per_mwh,temperature_fcast_mean_by_county,direct_solar_radiation_fcast_mean_by_county,direct_solar_radiation_fcast_mean
305.5,13.0,8,1,1633399200000000000,1,278,2,0.0,1,3,0.0,1,65.5,68.0,12.840824381510442,0.0,0.0
2017.7,75.0,4,0,1658368800000000000,1,202,2,0.0,3,1,0.0,1,162.5,171.0,16.243432617187523,0.0,0.0
1757.7,48.0,60,15,1672390800000000000,1,364,9,6.358965243869359,4,3,3.295624503128618,1,81.0,100.0,3.380200195312523,0.05044444444444444,2.154792592592593
2678.8,97.0,4,0,1681351200000000000,0,103,2,0.0,3,1,0.0,1,47.0,52.73,5.473925781250022,0.0,0.0
2075.4,66.0,42,10,1673294400000000000,1,9,20,0.0,0,3,0.0,1,76.0,82.95,0.8657267252604394,0.0,0.0
1417.1,120.0,39,10,1645696800000000000,1,55,10,109.02153645833333,3,3,120.86602534722222,0,75.6,85.4,3.7277872721354393,61.949629629629634,96.14838518518519
135.0,9.0,65,2,1677376800000000000,0,57,2,0.0,6,1,0.0,1,51.24,60.14,-4.690084838867165,0.0,0.0
452.1,18.0,55,14,1661040000000000000,0,233,0,0.0,6,1,0.0,1,225.0,240.0,19.898217773437523,0.0,0.0
1905.46,159.0,27,7,1644145200000000000,1,37,11,40.362092496141976,6,3,66.68666533564816,0,80.49,86.0,1.152883572048634,0.047407407407407315,18.779555555555557
1004.3,84.0,58,15,1654711200000000000,1,159,18,56.79888888888918,2,3,171.93109629629632,0,96.55,98.1,17.916210937500022,2.851555555555433,137.26388148148152
1719.0,46.0,46,11,1676170800000000000,1,43,3,0.0,6,1,0.0,1,57.0,63.2,-6.589331054687477,0.0,0.0
1026.4,26.0,52,13,1639436400000000000,1,347,23,0.0,0,3,0.0,1,86.65,87.5,-1.2931884765624773,0.0,0.0
65.5,8.0,47,11,1669611600000000000,1,332,5,0.0,0,2,0.0,1,128.0,135.49,-2.6994689941406023,0.0,0.0
594.2,66.0,7,1,1680066000000000000,0,88,5,0.0,2,3,0.0,0,45.0,47.0,-0.8306131998697689,0.0,0.0
2295.18,190.0,27,7,1659286800000000000,1,212,17,363.10501543209887,6,3,378.66444259259254,0,169.0,205.0,20.029368760850716,362.18563271604916,456.3207833333333
1333.5,39.0,18,4,1675054800000000000,0,30,5,0.0,0,3,0.0,1,58.0,64.7,1.1505523681640852,0.0,0.0
694.0,33.0,31,8,1682859600000000000,1,120,13,681.237638888889,6,1,566.2888981481482,0,46.85,51.96,11.105371093750025,748.4431618923611,515.943013744213
335.0,8.0,67,11,1656090000000000000,0,175,17,496.9977777777776,4,0,515.5564740740741,1,124.0,135.0,24.752496337890648,737.3466666666659,760.1250962962964
2600.6000000000004,86.0,42,10,1683622800000000000,0,129,9,489.75356481481475,1,3,501.3377425925926,1,40.0,45.0,7.889947509765648,787.7109722222225,783.7287796296297
1164.2,33.0,33,8,1671584400000000000,0,355,1,0.0,2,3,0.0,1,105.0,114.0,2.2125488281250227,0.0,0.0
1710.0,8.0,17,4,1659110400000000000,1,210,16,436.1386111111112,4,0,490.75893703703713,1,160.0,205.0,18.69539031982424,459.8129166666662,575.0939833333333
1068.6,13.0,28,7,1652115600000000000,1,129,17,414.21896604938297,0,0,373.97876851851856,1,101.1,108.5,9.334503851996551,640.4189814814815,543.9183592592593
336.5,11.0,40,10,1658952000000000000,1,208,20,79.73476851851865,2,1,73.65856111111113,1,159.0,179.0,17.03326822916669,196.80152777777792,209.4133203703704
2437.2000000000003,52.0,30,7,1652968800000000000,0,139,14,532.1070679012345,3,3,568.3904851851853,1,99.5,107.29,12.874034288194467,320.34133005401225,460.3531028935185
1126.9,91.0,20,5,1633352400000000000,0,277,13,409.32133101851855,0,3,322.6473162037037,0,65.51,66.99,12.946476236979192,780.1780555555556,449.9944703703704
571.59,55.0,38,10,1665025200000000000,1,279,3,0.0,3,1,0.0,0,125.0,170.0,13.587004597981796,0.0,0.0
1301.0,106.0,20,5,1648022400000000000,1,82,8,231.03776331018523,2,3,224.80855590277778,0,82.76,85.18,1.0968261718750227,507.73164930555566,511.60871597222217
1272.7,69.0,16,4,1680951600000000000,0,98,11,563.7845833333333,5,3,552.0960796296297,0,48.5,51.66,7.156701660156274,822.713888888889,817.2600814814814
560.0,5.0,17,4,1642852800000000000,1,22,12,89.86870659722223,5,0,98.1230917824074,1,77.0,84.99,-2.6780303955077898,54.89039442274306,141.26349071903934
4328.3,88.0,56,14,1676671200000000000,0,48,22,0.0,4,3,0.0,1,54.0,60.7,1.1560913085937727,0.0,0.0
198.1,10.0,13,3,1676606400000000000,0,48,4,0.0,4,1,0.0,1,54.0,60.7,0.2738891601562727,0.0,0.0
2927.7000000000003,78.0,23,5,1657184400000000000,1,188,9,487.08119502314827,3,3,470.6765135416667,1,150.0,157.8,17.93542887369794,640.2260635489004,614.5465376229745
918.2,61.0,58,15,1632333600000000000,0,265,18,37.45711111111107,2,3,40.08277037037035,0,47.0,49.2,7.162487792968773,128.37536111111112,78.8137611111111
9660.11,938.0,2,0,1661335200000000000,1,236,10,353.64497916666676,2,3,350.04551250000003,0,240.0,285.0,22.15332031250002,341.4874722222223,380.1484500000001
259.5,10.0,47,11,1642888800000000000,0,22,22,0.0,5,2,0.0,1,77.0,84.99,-3.6749023437499773,0.0,0.0
631.3000000000001,60.0,19,5,1681059600000000000,1,99,17,259.7826388888886,6,1,259.947024074074,0,46.0,50.8,5.18371988932294,422.2800462962961,387.8295574074074
943.08,35.0,37,9,1675641600000000000,1,37,0,0.0,0,3,0.0,1,62.5,66.92,-0.8295247395833106,0.0,0.0
630.9000000000001,46.0,16,4,1648245600000000000,0,84,22,0.0,4,3,0.0,0,82.1,84.5,2.9660125732422102,0.0,0.0
3114.6000000000004,67.0,56,14,1631271600000000000,0,253,11,208.13138599537044,4,3,326.70774155092596,1,44.96,47.72,17.95184733072919,64.40255642361119,320.02898605324077
